id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.553143882364925,0.6265196275579826,0.38400218564698185,0.36351978518752653,0.37348037244201737
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.375139023577485,0.3936171906843468,0.6237922761718215,0.5899187220986121,0.6063828093156527
2,Ms. Haag plays Elianti .,1.3509775004326938,0.41027247824384333,0.7082316448032829,0.5051961085524235,0.5897275217561565
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.587567496225656,0.27826133272819586,0.6941677258479477,0.7515903182002964,0.7217386672718042
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.9978473709197568,0.22147754753669896,0.7155881092776385,0.8535941087481498,0.778522452463301
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.724137931034484,0.2766353541297209,0.7725615291305131,0.6800583827388488,0.7233646458702795
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,1.433985000288461,0.275106204677363,0.6771739912581841,0.7798490098308641,0.7248937953226365
7,The new rate will be payable Feb. 15 .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.918464939457502,0.8824880799443541
8,A record date has n't been set .,0.8443609377704333,0.18136305810744538,0.7622556248918265,0.8840251114481908,0.8186369418925544
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",1.3540911769796398,0.25451600164225596,0.7454839983577443,0.745483998357744,0.7454839983577441
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.6464503783492068,0.2681134936841712,0.7049847492605662,0.7609228237154136,0.7318865063158289
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",2.5109273890302313,0.4564314528038433,0.5430930458164978,0.5440448819493925,0.5435685471961565
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.9279573714190326,0.513612693758243,0.47466862260131265,0.49869926157189226,0.48638730624175697
13,The proposed changes also would allow executives to report exercises of options later and less often .,2.2914481436696015,0.5059069729553709,0.3903488949683723,0.6729429935923614,0.4940930270446292
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,2.621972182187676,0.4205217380790806,0.5745419862003212,0.5845000944312109,0.5794782619209194
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.929734902229776,0.30702289402943606,0.680689289758713,0.7057167177969726,0.692977105970564
16,`` Apparently the commission did not really believe in this ideal . '',1.5665021520461755,0.31895873533511093,0.5820804795537721,0.8205437089236692,0.681041264664889
